Station Index,Equipment Type,IP,Subnet Mask,Gateway
1,IR829,10.150.137.18,255.255.255.240,10.150.137.17
1,UPS,10.150.137.19,255.255.255.240,10.150.137.18
1,EBCS,10.150.137.20,255.255.255.240,10.150.137.18
1,SMARC,10.150.137.21,255.255.255.240,10.150.137.18
1,SLA,10.150.137.22,255.255.255.240,10.150.137.17
2,IR829,10.150.145.18,255.255.255.240,10.150.145.17
2,UPS,10.150.145.19,255.255.255.240,10.150.145.18
2,EBCS,10.150.145.20,255.255.255.240,10.150.145.18
2,SMARC,10.150.145.21,255.255.255.240,10.150.145.18
2,SLA,10.150.145.22,255.255.255.240,10.150.145.17
3,IR829,10.150.153.66,255.255.255.240,10.150.153.65
3,UPS,10.150.153.67,255.255.255.240,10.150.153.66
3,EBCS,10.150.153.68,255.255.255.240,10.150.153.66
3,SMARC,10.150.153.69,255.255.255.240,10.150.153.66
3,SLA,10.150.153.70,255.255.255.240,10.150.153.65
4,IR829,10.150.161.18,255.255.255.240,10.150.161.17
4,UPS,10.150.161.19,255.255.255.240,10.150.161.18
4,EBCS,10.150.161.20,255.255.255.240,10.150.161.18
4,SMARC,10.150.161.21,255.255.255.240,10.150.161.18
4,SLA,10.150.161.22,255.255.255.240,10.150.161.17
5,IR829,10.150.169.66,255.255.255.240,10.150.169.65
5,UPS,10.150.169.67,255.255.255.240,10.150.169.66
5,EBCS,10.150.169.68,255.255.255.240,10.150.169.66
5,SMARC,10.150.169.69,255.255.255.240,10.150.169.66
5,SLA,10.150.169.70,255.255.255.240,10.150.169.65
6,IR829,10.150.177.18,255.255.255.240,10.150.177.17
6,UPS,10.150.177.19,255.255.255.240,10.150.177.18
6,EBCS,10.150.177.20,255.255.255.240,10.150.177.18
6,SMARC,10.150.177.21,255.255.255.240,10.150.177.18
6,SLA,10.150.177.22,255.255.255.240,10.150.177.17
8,IR829,10.212.49.18,255.255.255.240,10.212.49.17
8,UPS,10.212.49.19,255.255.255.240,10.212.49.18
8,EBCS,10.212.49.20,255.255.255.240,10.212.49.18
8,SMARC,10.212.49.21,255.255.255.240,10.212.49.18
8,SLA,10.212.49.22,255.255.255.240,10.212.49.17
41,IR829,10.186.201.18,255.255.255.240,10.186.201.17
41,UPS,10.186.201.19,255.255.255.240,10.186.201.18
